Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4
A1001007,Dressing for one wound,Dressing for one wound,,,C,,200207012002
A2001007,Dressing for two wounds,Dressing for two wounds,,,C,,200207012002
A3001007,Dressing for three wounds,Dressing for three wounds,,,C,,200207012002
A4001007,Dressing for four wounds,Dressing for four wounds,,,C,,200207012002
A5001007,Dressing for five wounds,Dressing for five wounds,,,C,,200207012002
A6001007,Dressing for six wounds,Dressing for six wounds,,,C,,200207012002
A7001007,Dressing for seven wounds,Dressing for seven wounds,,,C,,200207012002
A8001007,Dressing for eight wounds,Dressing for eight wounds,,,C,,200207012002
A9001007,Dressing for nine or more wounds,Dressing for 9 or more wound,,,C,,200207012002
AA001007,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst                             3350.5,,,D,,198401012001
AB001007,Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo,,,C,,202301012023
AB002008,physician/npp order for non-acute hearing assessment unrelated to,,,,,,
AB003008,"disequilibrium, or hearing aids, or examinations for the purpose of",,,,,,
AB004008,"prescribing, fitting, or changing hearing aids; service may be performed once",,,,,,
AB005008,"every 12 months, per beneficiary",,,,,,
AD001007,Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc                           3350.5",,,D,,198401012001
AD002008,procedures,,,,,,
AE001007,Registered dietician,Registered dietician,,,C,,200501012005
AF001007,Specialty physician,Specialty physician,,,C,,200501012005
AG001007,Primary physician,Primary physician,,,C,,200501012005
AH001007,Clinical psychologist,Clinical psychologist                                  2150    5112,,,D,,199101011997
AI001007,Principal physician of record,Principal physician of rec,,,C,,201001012010
AJ001007,Clinical social worker,Clinical social worker                                 2152    5113,,,D,,199101011997
AK001007,Non participating physician,Non participating physician,,,C,,200501012005
AM001007,"Physician, team member service","Physician, team member svc                             4105.7",,QM,D,0069,199101011997
AO001007,Alternate payment method declined by provider of service,Prov declined alt pmt method,,,C,,201310012013
AP001007,Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state,,,C,,198401011997
AP002008,ophthalmological examination,,,,,,
AQ001007,Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area,,,C,,200601012006
AQ002008,(hpsa),,,,,,
AR001007,Physician provider services in a physician scarcity area,Physician scarcity area,,,C,,200501012005
AS001007,"Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service,,,C,0069,198801011999
AS002008,for assistant at surgery,,,,,,
AT001007,"Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment,,,C,,198401011998
AT002008,"98941, 98942)",,,,,,
AU001007,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,C,,200301012003
AV001007,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,,C,,200301012003
AW001007,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,,C,,200301012003
AX001007,Item furnished in conjunction with dialysis services,Item w dialysis services,,,C,,200301012003
AY001007,Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx,,,C,,201101012011
AY002008,esrd,,,,,,
AZ001007,Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa,,,I,,201101012011
AZ002008,the purpose of an electronic health record incentive payment,,,,,,
BA001007,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,,C,,200301012003
BL001007,Special acquisition of blood and blood products,Spec acquisition blood prods,,,C,,200507012005
BO001007,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,,C,,200301012003
BP001007,The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item,,,C,,199201011997
BP002008,elected to purchase the item,,,,,,
BR001007,The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item,,,C,,199201011997
BR002008,elected to rent the item,,,,,,
BU001007,The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent,,,C,,199201011997
BU002008,30 days has not informed the supplier of his/her decision,,,,,,
CA001007,Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient,,,C,,200301012003
CA002008,outpatient who expires prior to admission,,,,,,
CB001007,Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay,,,C,,200304012004
CB002008,"esrd beneficiary's dialysis benefit, is not part of the composite rate, and is",,,,,,
CB003008,separately reimbursable,,,,,,
CC001007,Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change,,,C,,199001011997
CC002008,either for administrative reasons or because an incorrect code was filed),,,,,,
CD001007,Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md                           4270.2,,,D,,200401012004
CD002008,the composite rate and is not separately billable,,,,,,
CE001007,Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb                           4270.2,,,D,,200401012004
CE002008,composite rate test but is beyond the normal frequency covered under the rate,,,,,,
CE003008,and is separately reimbursable based on medical necessity,,,,,,
CF001007,Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate                            4270.2,,,D,,200401012004
CF002008,part of the composite rate and is separately billable,,,,,,
CG001007,Policy criteria applied,Policy criteria applied,,,C,,200807012008
CH001007,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,D,0180,201301012013
CI001007,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,,D,0180,201301012013
CJ001007,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,,D,0180,201301012013
CK001007,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,,D,0180,201301012013
CL001007,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,,D,0180,201301012013
CM001007,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,,D,0180,201301012013
CN001007,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,D,0180,201301012013
CO001007,Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota,,,C,,201901012019
CO002008,occupational therapy assistant,,,,,,
CP001007,Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service,,,C,,201601012018
CP002008,"ambulatory payment classification (c-apc) procedure, but reported on a",,,,,,
CP003008,different claim,,,,,,
CQ001007,Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta,,,C,,201901012019
CQ002008,physical therapist assistant,,,,,,
CR001007,Catastrophe/disaster related,Catastrophe/disaster related,,,C,,200508212005
CS001007,Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19,,,C,,201101012020
CS002008,in and order for or administration of a covid-19 test and/or used for,,,,,,
CS003008,cost-sharing waived preventive services furnished via telehealth in rural,,,,,,
CS004008,health clinics and federally qualified health centers during the covid-19,,,,,,
CS005008,public health emergency,,,,,,
